City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Churapcha,RU,74.91,few clouds,62.0025,132.4325,
370,Itaquyry,PY,70.02,clear sky,-24.9333,-55.2167,Posada Santa Celina
371,Padang,ID,83.03,moderate rain,-0.9492,100.3543,Mercure Padang
373,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
376,Sevierville,US,72.61,clear sky,35.8681,-83.5618,The Lodge at Five Oaks
377,Mitu,CO,72.68,scattered clouds,1.1983,-70.1733,
379,Namibe,AO,70.75,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
381,Karaton,ID,82.56,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
383,Truth Or Consequences,US,82.63,few clouds,33.1284,-107.2528,Charles Motel
386,Luba,GQ,79.83,light rain,3.4568,8.5547,
388,Banda Aceh,ID,83.1,overcast clouds,5.5577,95.3222,Sulthan Hotel International
390,Les Cayes,HT,78.67,few clouds,18.2,-73.75,Villa Orphee
391,Ozu,JP,71.19,overcast clouds,33.5,132.55,HOTEL FOREST
397,Mahibadhoo,MV,83.34,overcast clouds,3.7833,72.9667,Omadhoo Inn
398,Hithadhoo,MV,83.93,overcast clouds,-0.6,73.0833,Scoop Guest House
399,Portland,US,83.28,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
400,New Bern,US,76.98,light rain,35.1085,-77.0441,Hampton Inn New Bern
402,Saint Anthony,US,84.52,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
404,Ajdabiya,LY,74.03,few clouds,30.7554,20.2263,Almadina Hotel
405,Kysyl-Syr,RU,82.35,broken clouds,63.8986,122.7617,
408,Carutapera,BR,75.94,broken clouds,-1.195,-46.02,Lidera
411,Fairbanks,US,71.6,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
412,Kavieng,PG,84.38,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
413,Del Rio,US,78.91,broken clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
