City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Shubarshi,KZ,48.5872,57.1869,67.06,79,3,16.35,clear sky
145,Broken Hill,AU,-31.95,141.4333,56.91,72,40,14.97,scattered clouds
146,Lazaro Cardenas,MX,17.9583,-102.2,82.69,72,13,4.41,few clouds
147,Abu Samrah,SY,35.3029,37.1841,61.23,76,0,6.78,clear sky
148,Sao Filipe,CV,14.8961,-24.4956,73.04,80,23,13.53,few clouds
149,Pegnitz,DE,49.7564,11.545,63.48,75,96,3.91,overcast clouds
150,Sayla,IN,22.55,71.4667,83.08,67,0,10.92,clear sky
151,Chernyshevskiy,RU,63.0128,112.4714,71.83,37,100,4.72,overcast clouds
152,Ancud,CL,-41.8697,-73.8203,49.53,85,100,13.42,light rain
153,Iqaluit,CA,63.7506,-68.5145,33.53,86,90,5.01,snow
154,Praia,CV,14.9215,-23.5087,72.14,78,20,17.27,few clouds
155,Chapayeve,UA,49.3662,35.8749,53.42,97,100,9.82,overcast clouds
156,Shimoda,JP,34.6667,138.95,71.96,97,100,24.99,heavy intensity rain
157,Cayenne,GF,4.9333,-52.3333,78.1,89,75,3.0,broken clouds
158,Kalnibolotskaya,RU,46.0058,40.4568,51.3,89,57,5.79,broken clouds
159,Dingle,PH,10.9995,122.6711,86.92,70,75,6.04,broken clouds
160,Myrtle Beach,US,33.6891,-78.8867,76.05,94,90,12.66,overcast clouds
161,Feni,BD,23.0186,91.41,86.32,72,99,5.48,overcast clouds
162,Neuquen,AR,-38.9516,-68.0591,62.49,51,0,11.5,clear sky
163,Lumberton,US,34.6182,-79.0086,75.34,94,100,12.41,light rain
164,Russell,US,32.3502,-85.1999,78.08,84,20,3.58,few clouds
165,Krasnoselkup,RU,65.7,82.4667,40.51,55,64,11.36,broken clouds
166,Pizarro,CO,4.9533,-77.366,78.31,89,96,4.97,moderate rain
167,Nebbi,UG,2.4783,31.0889,65.55,83,98,4.18,overcast clouds
168,Karratha,AU,-20.7377,116.8463,68.99,45,100,18.86,overcast clouds
169,La Ronge,CA,55.1001,-105.2842,62.85,82,75,14.97,broken clouds
170,Lubao,PH,14.9167,120.55,87.82,66,86,6.85,overcast clouds
171,Chimbote,PE,-9.0853,-78.5783,64.65,83,22,5.77,few clouds
172,Karatsu,JP,33.4425,129.9697,71.17,88,100,8.28,light rain
173,Puerto Leguizamo,CO,-0.1934,-74.7819,72.61,98,68,1.48,broken clouds
174,Abha,SA,18.2164,42.5053,66.45,13,0,7.34,clear sky
175,Katherine,AU,-14.4667,132.2667,80.92,57,75,12.88,broken clouds
176,Tamiahua,MX,21.2667,-97.45,79.56,83,97,6.08,overcast clouds
177,Rudbar,AF,30.15,62.6,90.19,13,0,3.58,clear sky
178,Pevek,RU,69.7008,170.3133,37.2,66,70,0.83,broken clouds
179,Sebinkarahisar,TR,40.2883,38.4236,45.91,69,4,0.58,clear sky
180,College,US,64.8569,-147.8028,71.58,29,75,1.99,broken clouds
181,Kautokeino,NO,69.0125,23.0412,60.3,52,68,4.88,broken clouds
182,Olafsvik,IS,64.8945,-23.7142,48.54,76,100,12.3,light rain
183,Isangel,VU,-19.55,169.2667,80.71,69,75,12.88,broken clouds
184,Khatanga,RU,71.9667,102.5,34.61,81,100,7.16,overcast clouds
185,Pemba,MZ,-12.974,40.5178,74.1,94,20,4.61,few clouds
186,Kompaniyivka,UA,48.2511,32.208,50.5,96,82,12.1,broken clouds
187,Faanui,PF,-16.4833,-151.75,81.27,73,59,10.25,broken clouds
188,Viedma,AR,-40.8135,-62.9967,59.22,67,100,16.22,overcast clouds
189,Zeya,RU,53.75,127.2667,66.18,48,100,16.37,overcast clouds
190,Lewistown,US,40.5992,-77.5714,69.21,88,1,0.0,clear sky
191,Carnarvon,AU,-24.8667,113.6333,59.07,77,0,13.8,clear sky
192,Lorengau,PG,-2.0226,147.2712,85.01,68,60,2.39,broken clouds
193,Lavrentiya,RU,65.5833,-171.0,33.82,74,100,3.76,overcast clouds
194,Gayny,RU,60.3071,54.3241,48.36,55,1,2.53,clear sky
195,Vao,NC,-22.6667,167.4833,71.06,79,98,16.98,overcast clouds
196,Thessalon,CA,46.2501,-83.5666,70.29,83,100,0.2,overcast clouds
197,Esperance,AU,-33.8667,121.9,58.84,66,0,12.93,clear sky
198,Sungaipenuh,ID,-2.0833,101.3833,71.56,91,100,1.61,overcast clouds
199,Show Low,US,34.2542,-110.0298,85.71,24,1,13.8,clear sky
200,Belaya Gora,RU,68.5333,146.4167,74.14,20,63,14.2,broken clouds
201,Hamilton,US,39.1834,-84.5333,65.61,96,40,3.78,scattered clouds
202,Atar,MR,20.5169,-13.0499,88.29,29,99,16.89,overcast clouds
203,Santa Rosa,PH,14.3122,121.1114,90.09,67,100,4.52,overcast clouds
204,Bara,NG,10.3744,10.7288,78.24,61,99,10.78,overcast clouds
205,Delmas,HT,18.5447,-72.3028,83.12,58,16,11.5,few clouds
206,Valparaiso,CL,-33.0393,-71.6273,65.48,70,100,11.81,overcast clouds
207,Gushikawa,JP,26.3544,127.8686,87.39,79,20,15.9,few clouds
208,Corn Island,NI,12.1694,-83.0418,82.4,77,39,18.37,scattered clouds
209,San Quintin,MX,30.4833,-115.95,65.01,75,1,7.61,clear sky
210,Beloha,MG,-25.1667,45.05,64.67,91,15,6.33,few clouds
211,Quatre Cocos,MU,-20.2078,57.7625,73.51,77,22,16.26,light rain
212,Zhigansk,RU,66.7697,123.3711,66.47,52,100,6.02,overcast clouds
213,Valea Ierii,RO,46.65,23.35,45.27,87,30,3.65,scattered clouds
214,Mae Hong Son,TH,19.3003,97.9685,86.14,70,20,2.3,few clouds
215,Phan Thiet,VN,10.9333,108.1,89.06,63,99,9.98,overcast clouds
216,Lebu,CL,-37.6167,-73.65,56.05,96,100,3.47,overcast clouds
217,Teya,RU,60.3778,92.6267,48.2,56,100,5.7,overcast clouds
218,Castro,BR,-24.7911,-50.0119,58.26,93,81,3.51,broken clouds
219,Half Moon Bay,US,37.4636,-122.4286,87.12,70,20,1.01,haze
220,Kenai,US,60.5544,-151.2583,60.03,56,75,10.36,broken clouds
221,Camana,PE,-16.6228,-72.7111,63.34,84,58,1.19,broken clouds
222,Waipawa,NZ,-41.4122,175.5153,57.83,71,99,7.0,overcast clouds
223,Richards Bay,ZA,-28.783,32.0377,60.8,70,97,17.27,light rain
224,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,12.66,light rain
225,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,82,28,4.14,scattered clouds
226,Tocopilla,CL,-22.092,-70.1979,63.77,70,38,3.67,scattered clouds
